week,location,average_price
26/08/2008,176.74(166.83),153.87(142.38)
19/08/2008,179.36(171.08),153.62(141.50)
27/12/2008,101.19(85.17),87.26(78.43)
20/12/2008,102.69(85.00),89.04(78.85)
13/12/2008,103.91(83.16),89.92(76.55)
06/12/2008,107.01(81.61),94.69(74.96)
29/11/2008,109.99(81.00),96.88(73.03)
22/11/2008,108.47(79.76),96.74(72.71)
22/11/2008,108.47(79.76),96.74(72.71)
15/11/2008,108.05(80.56),98.75(71.47)
08/11/2008,107.74(85.28),100.19(72.13)
01/11/2008,109.91(81.02),101.33(70.80)
25/10/2008,115.59(81.40),106.51(N.S.)
18/10/2008,114.94(N.S.),107.29(71.60)
11/10/2008,N.S.(82.55),N.S.(70.87)
04/10/2008,115.09(79.87),105.22(69.28)
27/09/2008,113.53(81.56),105.63(68.32)
20/09/2008,111.95(80.02),102.50(67.00)
13/09/2008,107.91(79.75),98.82(66.05)
06/09/2008,108.35(80.10),97.37(67.68)
30/08/2008,108.77(80.99),95.99(66.90)
23/08/2008,111.18(81.63),96.22(67.46)
16/08/2008,111.94(82.70),95.60(68.49)
09/08/2008,109.39(81.41),93.26(67.94)
02/08/2008,109.56(83.42),92.43(68.66)
26/07/2008,109.92(84.19),91.90(72.20)
19/07/2008,116.96(86.37),91.72(69.88)
12/07/2008,116.47(92.88),92.94(72.20)
05/07/2008,119.28(96.71),93.29(75.10)
05/07/2008,119.28(96.71),93.29(75.10)
28/06/2008,118.11(97.11),94.97(78.96)
21/06/2008,108.56(93.88),95.88(81.31)
14/06/2008,101.75(88.42),94.00(80.47)
07/06/2008,95.77(83.09),89.18(75.64)
31/05/2008,96.77(80.72),87.23(73.15)
24/05/2008,98.43(79.91),87.20(69.86)
17/05/2008,98.58(80.50),87.31(69.74)
10/05/2008,99.25(81.64),87.46(70.01)
03/05/2008,101.15(86.41),87.53(71.77)
26/04/2008,103.18(89.19),90.29(75.33)
19/04/2008,98.18(80.00),N.S.(81.26)
12/04/2008,87.13(90.97),83.97(84.77)
05/04/2008,78.54(70.38),65.63(61.75)
29/03/2008,64.08(53.87),N.S.(55.67)
22/03/2008,N.S.(N.S.),58.78(N.S.)
